BRANCH,FAMILY,SUB FAMILY,BEER NAME,BREWERY,ABV,IBU,REGION
ALE,STOUT,RUSSIAN IMPERIAL STOUT,Ten FIDY,Oskar Blues,10.50%,98,Colorado
ALE,STOUT,RUSSIAN IMPERIAL STOUT,Old Rasputin,North Coast,9%,75,California
ALE,STOUT,RUSSIAN IMPERIAL STOUT,Old Heathen,Weyerbacher,8%,62,Pennsylvania
ALE,PALE ALE,INDIA PALE ALE,Harpoon IPA,Harpoon,5.90%,42,Massachusetts
ALE,PALE ALE,INDIA PALE ALE,Two Hearted Ale,Bell's,7%,55,Michigan
ALE,PALE ALE,INDIA PALE ALE,Ruination,Stone,8.20%,105,California
ALE,INDIA PALE ALE,ENGLISH IPA,Commodore Perry,Great Lakes,7.50%,80,Ohio
ALE,INDIA PALE ALE,ENGLISH IPA,Harpoon IPA,Harpoon,5.90%,42,Massachusetts
ALE,INDIA PALE ALE,ENGLISH IPA,400 Pound Monkey,Left Hand,6.70%,35,Colorado
ALE,INDIA PALE ALE,AMERICAN IPA,Titan IPA,Great Divide,7.10%,65,Colorado
ALE,INDIA PALE ALE,AMERICAN IPA,Sculpin IPA,Ballast Point,7%,70,California
ALE,INDIA PALE ALE,AMERICAN IPA,Two Hearted Ale,Bell's,7%,55,Michigan
ALE,INDIA PALE ALE,IMPERIAL/DOUBLE IPA,Ruination,Stone,8.20%,105,California
ALE,INDIA PALE ALE,IMPERIAL/DOUBLE IPA,Pliny The Elder,Russian River,8%,95,California
ALE,INDIA PALE ALE,IMPERIAL/DOUBLE IPA,90 Minute IPA,Dogfish Head,9%,90,Delaware
ALE,GERMAN ALE,GERMAN WHEAT AND RYE,Primus Weizenbock,Live Oak,8.30%,15,Texas
ALE,GERMAN ALE,GERMAN WHEAT AND RYE,Paulaner Roggen,Paulaner,5.30%,15,Germany
ALE,GERMAN ALE,GERMAN WHEAT AND RYE,Weihenstephaner Hefeweissbier,Weihenstephaner,5.40%,14,Germany
ALE,GERMAN WHEAT AND RYE,WEIZEN/WEISSBIER,Weihenstephaner Hefeweissbier,Weihenstephaner,5.40%,14,Germany
ALE,GERMAN WHEAT AND RYE,WEIZEN/WEISSBIER,Paulaner Hefe-Weissbier Naturtrüb,Paulaner,5.50%,10,Germany
ALE,GERMAN WHEAT AND RYE,WEIZEN/WEISSBIER,Franziskaner Weissbier,Spaten-Franziskaner-Bräu,5.00%,10,Germany
ALE,GERMAN WHEAT AND RYE,DUNKELWEIZEN,Shiner Holiday Cheer,Spoetzl,5.40%,22,Texas
ALE,GERMAN WHEAT AND RYE,DUNKELWEIZEN,Weihenstephaner Hefeweissbier Dunkel,Weihenstephaner,5.30%,14,Germany
ALE,GERMAN WHEAT AND RYE,DUNKELWEIZEN,Erdinger Weissbier Dunkel,Erdinger Weissbrau,5.30%,13,Germany
